NUMBER_1,X_WORLD_1,Y_WORLD_1,X_IMAGE_1,Y_IMAGE_1,FLUX_ISO_1,FLUXERR_ISO_1,MAG_ISO_1,MAGERR_ISO_1,BACKGROUND_1,THRESHOLD_1,FLUX_MAX_1,ISOAREA_IMAGE_1,THETA_IMAGE_1,FLAGS_1,ELONGATION_1,ELLIPTICITY_1,NUMBER_2,X_WORLD_2,Y_WORLD_2,X_IMAGE_2,Y_IMAGE_2,FLUX_ISO_2,FLUXERR_ISO_2,MAG_ISO_2,MAGERR_ISO_2,BACKGROUND_2,THRESHOLD_2,FLUX_MAX_2,ISOAREA_IMAGE_2,THETA_IMAGE_2,FLAGS_2,ELONGATION_2,ELLIPTICITY_2,Separation,B_V
6479,154.3800769045502,-46.49538745736894,2121.255,2845.1594,6116.9717,94.192474,19.30766,0.016722823,99.68935,68.92337,174.49542,45,6.3439956,0,1.1020666,0.092613876,7565,154.38007844662675,-46.49549539108339,2121.2559,2846.1558,23740.387,199.32607,18.301281,0.009118137,253.02594,152.23218,708.21436,69,16.885622,0,1.0510263,0.048548996,0.3885801657880375,1.0063782
6480,154.40144717557214,-46.49662311213547,2256.954,2857.7778,15015.584,141.6017,18.332645,0.010241323,98.9783,68.92337,311.55972,106,51.836185,2,1.1169,0.10466468,7555,154.40145195060288,-46.49669341932805,2256.9788,2858.4272,41719.316,263.6833,17.689157,0.006863968,249.33858,152.23218,1029.8085,107,56.87099,2,1.2508211,0.2005251,0.2533823745734757,0.64348793
6481,154.57147720862076,-46.49405625818321,3337.683,2845.0366,4060.405,76.89651,19.752577,0.020566817,95.99192,68.92337,157.22319,39,15.416727,0,1.0708569,0.06616849,7570,154.57156497691477,-46.49412163222944,3338.2341,2845.6462,12556.737,152.37148,18.992807,0.013178218,241.27812,152.23218,506.9071,46,-3.4431326,0,1.0725781,0.06766689,0.32047314826603396,0.75976944
6482,154.63353418941483,-46.49503928317495,3731.9326,2858.6877,24461.277,173.94482,17.802803,0.007722576,93.51551,68.92337,508.36584,122,24.55619,0,1.0794472,0.073599815,7571,154.63362701113002,-46.4950841619215,3732.5173,2859.109,76681.95,329.28894,17.028267,0.0046635196,233.41312,152.23218,1944.4056,137,-12.144085,0,1.107867,0.097364545,0.28110719255935307,0.77453613
6483,154.47038901713185,-46.49727125798355,2694.9907,2867.9216,17358.719,153.09889,18.175205,0.009578207,97.630554,68.92337,256.69797,128,82.02987,0,1.5425076,0.351705,7578,154.4704197708303,-46.49732439766363,2695.1814,2868.414,50232.43,288.3408,17.48754,0.0062337834,247.95996,152.23218,921.40985,134,81.93823,0,1.5915883,0.37169677,0.20592552944026776,0.68766594
6484,154.39753481424756,-46.49617378712264,2232.1301,2853.4055,15019.644,141.28018,18.332352,0.010215308,99.25644,68.92337,320.18585,91,-12.411775,0,1.090717,0.083171844,7574,154.39756586391078,-46.496246550745,2232.3213,2854.0789,40026.234,250.01126,17.734138,0.006783357,250.96352,152.23218,1074.5634,97,2.2831218,0,1.0860407,0.07922423,0.2730172486641873,0.5982132
6485,154.38318318860377,-46.49606227200193,2140.9395,2851.5625,7984.4375,104.77218,19.018389,0.014250545,99.49579,68.92337,212.90506,63,-19.027117,0,1.0971115,0.08851552,7579,154.38320548409447,-46.496120942163955,2141.0764,2852.1055,20905.291,190.26442,18.43936,0.009883964,252.52351,152.23218,666.9489,66,-16.608656,0,1.0305377,0.029632747,0.2183202900979843,0.5790291
6486,154.64004346507033,-46.49452282295054,3773.3542,2854.4185,11454.695,123.70345,18.626541,0.011728112,93.39085,68.92337,275.76743,81,41.18955,0,1.0677372,0.063439965,7585,154.6401248789932,-46.49456991309795,3773.8665,2854.8594,29974.752,219.2053,18.048111,0.007941916,232.89793,152.23218,867.8336,78,-2.2297313,0,1.1110715,0.09996784,0.2635332326912392,0.5784302
6487,154.5516730219463,-46.49481258579879,3211.755,2850.6226,6866.5625,97.8484,19.182152,0.015475481,95.81958,68.92337,193.5664,57,10.529825,0,1.0546046,0.051777303,7576,154.55171341862447,-46.4948896771868,3212.004,2851.3372,20850.953,191.94127,18.442184,0.00999706,242.00183,152.23218,637.0841,69,-48.541054,0,1.1041011,0.094285846,0.295034684147801,0.73996735
6488,154.2036492685515,-46.49610497474304,1000.0457,2843.1797,2049.2097,56.051838,20.495033,0.029705254,95.30192,68.92337,106.837425,23,14.001066,0,1.011786,0.011648715,7573,154.2036073589238,-46.4962087690877,999.7731,2844.136,9223.594,135.13586,19.32775,0.015911102,237.8844,152.23218,370.94928,39,-9.976339,0,1.0637965,0.059970617,0.3878259499142506,1.167284
